id,cdocente,ccurso,prioridad,sw_cambio,curso_id,user_id,created_at,updated_at
1,"000125","100049",1,F,1120,87,10/04/2016 01:00:55,10/04/2016 01:00:55
2,"000842","100049",3,F,1120,118,10/04/2016 01:00:55,10/04/2016 01:00:55
3,"000346","100052",2,F,841,116,10/04/2016 01:00:55,10/04/2016 01:00:55
4,"000547","100068",1,F,780,16,10/04/2016 01:00:55,10/04/2016 01:00:55
5,"000244","110004",2,F,275,108,10/04/2016 01:00:55,10/04/2016 01:00:55
6,"000958","110004",3,F,275,85,10/04/2016 01:00:55,10/04/2016 01:00:55
7,"000483","120006",1,F,346,39,10/04/2016 01:00:55,10/04/2016 01:00:55
8,"000662","120006",4,F,346,70,10/04/2016 01:00:55,10/04/2016 01:00:55
9,"000342","120009",1,F,363,17,10/04/2016 01:00:55,10/04/2016 01:00:55
10,"000483","120009",2,F,363,39,10/04/2016 01:00:55,10/04/2016 01:00:55
11,"000729","120009",3,F,363,28,10/04/2016 01:00:55,10/04/2016 01:00:55
12,"000761","132053",1,F,1254,29,10/04/2016 01:00:55,10/04/2016 01:00:55
13,"000006","240003",1,F,1269,52,10/04/2016 01:00:55,10/04/2016 01:00:55
14,"000808","240003",2,F,1269,54,10/04/2016 01:00:55,10/04/2016 01:00:55
15,"000006","240022",1,F,1272,52,10/04/2016 01:00:55,10/04/2016 01:00:55
16,"000730","240022",2,F,1272,91,10/04/2016 01:00:55,10/04/2016 01:00:55
17,"000808","240022",6,F,1272,54,10/04/2016 01:00:55,10/04/2016 01:00:55
18,"000491","100163",2,F,29,96,10/04/2016 01:00:55,10/04/2016 01:00:55
19,"000491","100170",1,F,831,96,10/04/2016 01:00:55,10/04/2016 01:00:55
20,"000547","100068",1,F,780,16,10/04/2016 01:00:55,10/04/2016 01:00:55
21,"000438","100068",2,F,780,76,10/04/2016 01:00:55,10/04/2016 01:00:55
22,"000372","100184",1,F,271,102,10/04/2016 01:00:55,10/04/2016 01:00:55
23,"000193","100184",3,F,271,73,10/04/2016 01:00:55,10/04/2016 01:00:55
24,"000761","100174",2,F,1262,29,10/04/2016 01:00:55,10/04/2016 01:00:55
25,"001146","140084",1,F,1818,18,10/04/2016 01:00:55,10/04/2016 01:00:55
26,"000743","100184",5,F,271,19,10/04/2016 01:00:55,10/04/2016 01:00:55
27,"000372","100189",1,F,306,102,10/04/2016 01:00:55,10/04/2016 01:00:55
28,"000958","100189",2,F,306,85,10/04/2016 01:00:55,10/04/2016 01:00:55
29,"000244","100189",3,F,306,108,10/04/2016 01:00:55,10/04/2016 01:00:55
30,"000452","100194",2,F,75,26,10/04/2016 01:00:55,10/04/2016 01:00:55
31,"000452","100192",2,F,277,26,10/04/2016 01:00:55,10/04/2016 01:00:55
32,"000452","100175",1,F,34,26,10/04/2016 01:00:55,10/04/2016 01:00:55
33,"000452","100171",3,F,157,26,10/04/2016 01:00:55,10/04/2016 01:00:55
34,"001029","100194",4,F,75,51,10/04/2016 01:00:55,10/04/2016 01:00:55
35,"000452","110053",5,F,717,26,10/04/2016 01:00:55,10/04/2016 01:00:55
36,"000384","240022",4,F,1272,75,10/04/2016 01:00:55,10/04/2016 01:00:55
37,"000384","240003",3,F,1269,75,10/04/2016 01:00:55,10/04/2016 01:00:55
38,"000151","100159",1,F,1094,80,10/04/2016 01:00:55,10/04/2016 01:00:55
39,"000767","100159",9,F,1094,130,10/04/2016 01:00:55,10/04/2016 01:00:55
40,"000011","240006",1,F,1282,32,10/04/2016 01:00:55,10/04/2016 01:00:55
41,"000017","240006",2,F,1282,43,10/04/2016 01:00:55,10/04/2016 01:00:55
42,"000384","240006",5,F,1282,75,10/04/2016 01:00:55,10/04/2016 01:00:55
43,"000808","240006",9,F,1282,54,10/04/2016 01:00:55,10/04/2016 01:00:55
44,"000333","240006",10,F,1282,67,10/04/2016 01:00:55,10/04/2016 01:00:55
45,"000474","100164",1,F,1106,56,10/04/2016 01:00:55,10/04/2016 01:00:55
46,"000474","100052",1,F,841,56,10/04/2016 01:00:55,10/04/2016 01:00:55
47,"000474","100070",1,F,836,56,10/04/2016 01:00:55,10/04/2016 01:00:55
48,"000488","100171",1,F,157,127,10/04/2016 01:00:55,10/04/2016 01:00:55
49,"000488","110053",2,F,717,127,10/04/2016 01:00:55,10/04/2016 01:00:55
50,"001149","110053",6,F,717,112,10/04/2016 01:00:55,10/04/2016 01:00:55
51,"000510","100198",2,F,1450,74,10/04/2016 01:00:55,10/04/2016 01:00:55
52,"000510","100159",3,F,1094,74,10/04/2016 01:00:55,10/04/2016 01:00:55
53,"000510","100118",1,F,1099,74,10/04/2016 01:00:55,10/04/2016 01:00:55
54,"000510","100140",1,F,54,74,10/04/2016 01:00:55,10/04/2016 01:00:55
55,"000510","100095",1,F,1393,74,10/04/2016 01:00:55,10/04/2016 01:00:55
56,"000510","132053",2,F,1254,74,10/04/2016 01:00:55,10/04/2016 01:00:55
57,"000661","100159",11,F,1094,50,10/04/2016 01:00:55,10/04/2016 01:00:55
58,"000661","100165",2,F,1230,50,10/04/2016 01:00:55,10/04/2016 01:00:55
59,"000661","100170",4,F,831,50,10/04/2016 01:00:55,10/04/2016 01:00:55
60,"000151","100068",3,F,780,80,10/04/2016 01:00:55,10/04/2016 01:00:55
61,"000623","100176",1,F,231,49,10/04/2016 01:00:55,10/04/2016 01:00:55
62,"000623","140003",3,F,535,49,10/04/2016 01:00:55,10/04/2016 01:00:55
63,"000589","140078",1,F,1606,46,10/04/2016 01:00:55,10/04/2016 01:00:55
64,"001146","140078",2,F,1606,18,10/04/2016 01:00:55,10/04/2016 01:00:55
65,"000589","140083",1,F,1608,46,10/04/2016 01:00:55,10/04/2016 01:00:55
66,"001146","140083",2,F,1608,18,10/04/2016 01:00:55,10/04/2016 01:00:55
67,"000593","100194",3,F,75,57,10/04/2016 01:00:55,10/04/2016 01:00:55
68,"000593","110066",1,F,140,57,10/04/2016 01:00:55,10/04/2016 01:00:55
69,"000986","140069",2,F,926,123,10/04/2016 01:00:55,10/04/2016 01:00:55
70,"000731","170010",7,F,1944,1,10/04/2016 01:00:55,10/04/2016 01:00:55
71,"000743","110076",3,F,1470,19,10/04/2016 01:00:55,10/04/2016 01:00:55
72,"000244","110076",4,F,1470,108,10/04/2016 01:00:55,10/04/2016 01:00:55
73,"000193","110076",5,F,1470,73,10/04/2016 01:00:55,10/04/2016 01:00:55
74,"001149","100099",1,F,862,112,10/04/2016 01:00:55,10/04/2016 01:00:55
75,"000566","240006",6,F,1282,7,10/04/2016 01:00:55,10/04/2016 01:00:55
76,"000566","240003",4,F,1269,7,10/04/2016 01:00:55,10/04/2016 01:00:55
77,"000358","140042",1,F,1355,23,10/04/2016 01:00:55,10/04/2016 01:00:55
78,"000474","100043",1,F,786,56,10/04/2016 01:00:55,10/04/2016 01:00:55
79,"000474","100174",4,F,1262,56,10/04/2016 01:00:55,10/04/2016 01:00:55
80,"000474","100072",1,F,1261,56,10/04/2016 01:00:55,10/04/2016 01:00:55
81,"000593","110052",1,F,719,57,10/04/2016 01:00:55,10/04/2016 01:00:55
82,"000474","100130",1,F,511,56,10/04/2016 01:00:55,10/04/2016 01:00:55
83,"000986","140079",1,F,544,123,10/04/2016 01:00:55,10/04/2016 01:00:55
84,"000731","100098",3,F,302,1,10/04/2016 01:00:55,10/04/2016 01:00:55
85,"000958","100194",5,F,75,85,10/04/2016 01:00:55,10/04/2016 01:00:55
86,"000623","100098",4,F,302,49,10/04/2016 01:00:55,10/04/2016 01:00:55
87,"000661","132053",6,F,1254,50,10/04/2016 01:00:55,10/04/2016 01:00:55
88,"000029","100163",3,F,29,128,10/04/2016 01:00:55,10/04/2016 01:00:55
89,"000989","340072",1,F,282,65,10/04/2016 01:00:55,10/04/2016 01:00:55
90,"001304","140071",2,F,533,114,10/04/2016 01:00:55,10/04/2016 01:00:55
91,"001304","140072",1,F,541,114,10/04/2016 01:00:55,10/04/2016 01:00:55
92,"000743","100193",3,F,293,19,10/04/2016 01:00:55,10/04/2016 01:00:55
93,"000372","110070",1,F,289,102,10/04/2016 01:00:55,10/04/2016 01:00:55
94,"000772","110070",4,F,289,93,10/04/2016 01:00:55,10/04/2016 01:00:55
