id,cdocente,ccurso,prioridad,sw_cambio,curso_id,user_id,created_at,updated_at
1,"000125","100049",1,F,1120,87,08/10/2016 12:19:49,08/10/2016 12:19:49
2,"000842","100049",3,F,1120,118,08/10/2016 12:19:49,08/10/2016 12:19:49
3,"000346","100052",2,F,841,116,08/10/2016 12:19:49,08/10/2016 12:19:49
4,"000547","100068",1,F,780,16,08/10/2016 12:19:49,08/10/2016 12:19:49
5,"000244","110004",2,F,275,108,08/10/2016 12:19:49,08/10/2016 12:19:49
6,"000958","110004",3,F,275,85,08/10/2016 12:19:49,08/10/2016 12:19:49
7,"000483","120006",1,F,346,39,08/10/2016 12:19:49,08/10/2016 12:19:49
8,"000662","120006",4,F,346,70,08/10/2016 12:19:49,08/10/2016 12:19:49
9,"000342","120009",1,F,363,17,08/10/2016 12:19:49,08/10/2016 12:19:49
10,"000483","120009",2,F,363,39,08/10/2016 12:19:49,08/10/2016 12:19:49
11,"000729","120009",3,F,363,28,08/10/2016 12:19:49,08/10/2016 12:19:49
12,"000761","132053",1,F,1254,29,08/10/2016 12:19:49,08/10/2016 12:19:49
13,"000006","240003",1,F,1269,52,08/10/2016 12:19:49,08/10/2016 12:19:49
14,"000808","240003",2,F,1269,54,08/10/2016 12:19:49,08/10/2016 12:19:49
15,"000006","240022",1,F,1272,52,08/10/2016 12:19:49,08/10/2016 12:19:49
16,"000730","240022",2,F,1272,91,08/10/2016 12:19:49,08/10/2016 12:19:49
17,"000808","240022",6,F,1272,54,08/10/2016 12:19:49,08/10/2016 12:19:49
18,"000491","100163",2,F,29,96,08/10/2016 12:19:49,08/10/2016 12:19:49
19,"000491","100170",1,F,831,96,08/10/2016 12:19:49,08/10/2016 12:19:49
20,"000547","100068",1,F,780,16,08/10/2016 12:19:49,08/10/2016 12:19:49
21,"000438","100068",2,F,780,76,08/10/2016 12:19:49,08/10/2016 12:19:49
22,"000372","100184",1,F,271,102,08/10/2016 12:19:49,08/10/2016 12:19:49
23,"000193","100184",3,F,271,73,08/10/2016 12:19:49,08/10/2016 12:19:49
24,"000761","100174",2,F,1262,29,08/10/2016 12:19:49,08/10/2016 12:19:49
25,"001146","140084",1,F,1818,18,08/10/2016 12:19:49,08/10/2016 12:19:49
26,"000743","100184",5,F,271,19,08/10/2016 12:19:49,08/10/2016 12:19:49
27,"000372","100189",1,F,306,102,08/10/2016 12:19:49,08/10/2016 12:19:49
28,"000958","100189",2,F,306,85,08/10/2016 12:19:49,08/10/2016 12:19:49
29,"000244","100189",3,F,306,108,08/10/2016 12:19:49,08/10/2016 12:19:49
30,"000452","100194",2,F,75,26,08/10/2016 12:19:49,08/10/2016 12:19:49
31,"000452","100192",2,F,277,26,08/10/2016 12:19:49,08/10/2016 12:19:49
32,"000452","100175",1,F,34,26,08/10/2016 12:19:49,08/10/2016 12:19:49
33,"000452","100171",3,F,157,26,08/10/2016 12:19:49,08/10/2016 12:19:49
34,"001029","100194",4,F,75,51,08/10/2016 12:19:49,08/10/2016 12:19:49
35,"000452","110053",5,F,717,26,08/10/2016 12:19:49,08/10/2016 12:19:49
36,"000384","240022",4,F,1272,75,08/10/2016 12:19:49,08/10/2016 12:19:49
37,"000384","240003",3,F,1269,75,08/10/2016 12:19:49,08/10/2016 12:19:49
38,"000151","100159",1,F,1094,80,08/10/2016 12:19:49,08/10/2016 12:19:49
39,"000767","100159",9,F,1094,130,08/10/2016 12:19:49,08/10/2016 12:19:49
40,"000011","240006",1,F,1282,32,08/10/2016 12:19:49,08/10/2016 12:19:49
